#;Study / Publication (Year);Recovered Dataset / Observer;Temporal Coverage;Obs. Days / Records;Data Availability / Link;RecoveredDataset
42;Hayakawa et al. (2020);Ames & Ferrer (Eclipse);1806;Eclipse drawings;DOI https://doi.org/10.3847/1538-4357/abae5d;Ames & Ferrer
43;Carrasco et al. (2023);Heinrich Schwabe;1825–1867;New counts;DOI https://doi.org/10.1093/mnras/stad179;Heinrich Schwabe
44;Willamo et al. (2017);Rudolf Wolf (Original Source);1849–1893;Source vs revised;DOI https://doi.org/10.1007/s11207-017-1114-3;Rudolf Wolf
45;Hayakawa et al. (2019);Staudacher (Colors and Drawings);1749–1796;Re-analysis;DOI https://doi.org/10.3847/1538-4357/ab0f32;Staudacher
46;Carrasco et al. (2020);Naval Observatory (Spain);1850s–1890s;Meridian transits;DOI https://doi.org/10.1007/s11207-020-01740-x;Naval Observatory
47;Pezzuti et al. (2022);Angelo Secchi (Rome);1853–1878;4000+ drawings;DOI https://doi.org/10.1051/swsc/2021042;Angelo Secchi
48;Vaquero et al. (2016);Group Number Backbone;1610–2010;Composite;DOI https://doi.org/10.1007/s11207-016-0982-2;Group Number Backbone
49;Clette et al. (2014);International Sunspot Number;1700–2014;Revised index;DOI https://doi.org/10.1002/2014SW001087;International Sunspot Number
50;Usoskin et al. (2015);Maunder Minimum Composite;1645–1715;Bayesian analysis;DOI https://doi.org/10.1051/0004-6361/201526652;Maunder Minimum Composite
51;Vokhmyanin et al. (2020);Thomas Harriot drawings;1610–1613;~200 days;DOI 10.1007/s11207-020-01604-4;Thomas Harriot drawings
52;Vokhmyanin & Zolotova (2018);Galileo Galilei sunspot letters;1612-05-03 to 1612-08-21;49 days;DOI 10.1007/s11207-018-1245-1;Galileo Galilei sunspot letters
53;Vokhmyanin, Arlt & Zolotova (2021);Composite dataset (Cigoli, Galileo, Cologna, Scheiner, Colonna);1612–1614;Dozens of days;DOI 10.1007/s11207-021-01796-6;Composite dataset (Cigoli
54;Vokhmyanin & Zolotova (2018);Pierre Gassendi drawings;1632–1634;Multiple drawings;DOI 10.1007/s11207-018-1372-8;Pierre Gassendi drawings
55;Arlt et al. (2016);Christoph Scheiner drawings (Rosa Ursina);1611–1631;8167 spots;DOI 10.1051/0004-6361/201629000;Christoph Scheiner drawings
56;Carrasco et al. (2015);Johannes Hevelius (Machina Coelestis);1653–1675;Intermittent;DOI 10.1007/s11207-015-0767-z;Johannes Hevelius
57;Neuhäuser, Arlt & Richter (2018);Gottfried Kirch correspondence;1680–1709;35 groups;DOI 10.1002/asna.201813481;Gottfried Kirch correspondence
58;Carrasco & Vaquero (2016);John Flamsteed correspondence;1672–1703;Dozens of mentions;DOI 10.1007/s11207-015-0839-0;John Flamsteed correspondence
59;Carrasco, Vaquero & Gallego (2021);Jean Charles Gallet;1677;7 + 6 days;DOI 10.1093/pasj/psab035;Jean Charles Gallet
60;Carrasco et al. (2025);Hacki–Hevelius letters;1671;Multiple letters;DOI 10.1016/j.asr.2025.05.037;Hacki–Hevelius letters
61;Carrasco et al. (2021);Tarde & Smogulecki combined;1615–1625;12 Tarde + 52 Smogulecki;DOI 10.1007/s11207-021-01905-2;Tarde & Smogulecki combined
