Observer / Source;Period of observation;Link (DOI or note);Positions;Areas;# Spots;# Groups;ColumnsProvided;Verification;Source;YearStart;YearEnd;Target author(s)
Tarde & Smogulecki;1615 1625;10.1007/s11207-021-01905-2;Unclear;Unclear;Likely;Likely;;"Analysis paper; columns TBD.";Other;1615.0;1625.0;Carrasco/Vaquero
Petrus Saxonius;1616-03-05–1616-03-27;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Zolotova_Sol_Ph_2023.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1616.0;1616.0;Zolotova, Vokhmyanin
Pierre Gassendi;1633-01-01–1638-12-31;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Zolotova_Sol_Ph_2018_2.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1633.0;1638.0;Zolotova, Vokhmyanin
Rheita (1642);1642;10.48550/arXiv.1502.06772;Unclear;Unclear;Likely;Likely;;Historical reinterpretation.;Other;1642.0;1642.0;Carrasco/Vaquero
Fogelius & Siverus (MM);1661-1690;10.1093/mnras/staa2965;Unclear;Unclear;Likely;Likely;;"Analysis; columns TBD.";Other;1645.0;1715.0;Hayakawa
Hevelius (Machina Coelestis);1653   1675;10.1007/s11207-015-0767-z;Unclear;Unclear;Likely;Likely;;"Historical extraction; counts likely.";Other;1653.0;1675.0;Carrasco/Vaquero
Johannes Hevelius;1660-02-22–1660-08-07;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025.pdf;Yes;Unclear;Unclear;Yes;positions,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1660.0;1660.0;Zolotova, Vokhmyanin
Robert Boyle;1660-05-07–1660-06-04;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1660.0;1660.0;Zolotova, Vokhmyanin
Hacki (unreleased records);1671;10.1016/j.asr.2025.05.037;Unclear;Unclear;Unclear;Unclear;;"Pending   article indicates unreleased notes; columns not described in abstract.";Other;1671.0;1671.0;Carrasco/Vaquero
Heinrich Siverus;1671-08-18–1671-09-15;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1671.0;1671.0;Zolotova, Vokhmyanin
Jean-Dominique Cassini;1671-01-01–1676-12-31;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1671.0;1676.0;Zolotova, Vokhmyanin
Robert Hook;1671-01-01–1676-12-31;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1671.0;1676.0;Zolotova, Vokhmyanin
Ole Christensen Roemer & Jean Picard;1672-10-18–1672-11-22;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1672.0;1672.0;Zolotova, Vokhmyanin
Jean Picard;1672-01-01–1676-12-31;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1672.0;1676.0;Zolotova, Vokhmyanin
John Flamsteed & Edmond Halley;1676-08-04–1676-12-25;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1676.0;1676.0;Zolotova, Vokhmyanin
Jean Charles Gallet (1677);1677;10.1093/pasj/psab035;Unclear;Unclear;Likely;Likely;;"Note; columns TBD.";Other;1677.0;1677.0;Carrasco/Vaquero
Georg Eimmart;1684-07-02–1684-07-08;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Zolotova_Sol_Ph_2023.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1684.0;1684.0;Zolotova, Vokhmyanin
Johann Wurzelbau;1684-06-11–1684-06-12;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Zolotova_Sol_Ph_2023.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1684.0;1684.0;Zolotova, Vokhmyanin
John Flamsteed;1684-05-05–1684-07-08;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025_3.pdf;Unclear;Unclear;Unclear;Unclear;;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1684.0;1684.0;Zolotova, Vokhmyanin
Philippe de La Hire;1684-01-01–1702-12-31;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025_3.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1684.0;1702.0;Zolotova, Vokhmyanin
Jacques Cassini;1700-11-11–1702-05-25;https://geo.phys.spbu.ru/~ned/Publications.files/Zolotova_Vokhmyanin_Sol_Ph_2025_3.pdf;Unclear;Unclear;Unclear;Unclear;;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1700.0;1702.0;Zolotova, Vokhmyanin
Eustachio Manfredi;1703-05-28–1703-06-29;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Zolotova_Sol_Ph_2023.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1703.0;1703.0;Zolotova, Vokhmyanin
Johann Hoffmann;1703-05-26–1703-07-16;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Zolotova_Sol_Ph_2023.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1703.0;1703.0;Zolotova, Vokhmyanin
Maria Eimmart;1703-05-30–1703-07-09;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Zolotova_Sol_Ph_2023.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1703.0;1703.0;Zolotova, Vokhmyanin
Johann Heinrich Muller;1705-01-01–1709-12-31;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Zolotova_Sol_Ph_2023.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1705.0;1709.0;Zolotova, Vokhmyanin
Peter Becker (Rostock);1708 1710;10.1002/asna.201512203;Unclear;Unclear;Likely;Likely;;Historical extraction.;Arlt [1];1708.0;1710.0;Arlt
Rost & Alischer;1716-1727;10.3847/1538-4357/ad3fb9;Unclear;Unclear;Unclear;Unclear;;"Historical sunspot records; columns TBD.";Other;1716.0;1727.0;Carrasco/Vaquero
Johann Christoph Muller;1719-04-20–1720-05-27;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Zolotova_Sol_Ph_2023.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1719.0;1720.0;Zolotova, Vokhmyanin
Weidler (1728 1729);1728 1729;https://articles.adsabs.harvard.edu/full/2015Obs...135..257C;Unclear;Unclear;Likely;Likely;;"Observatory note; no DOI.";Other;1728.0;1729.0;Carrasco/Vaquero
Diego de Torres Villarroel (note);1744;10.3847/2515-5172/ad71c2;Unclear;Unclear;Unclear;Unclear;;"Research Note; likely commentary.";Other;1744.0;1744.0;Carrasco/Vaquero
Barnaba Oriani (1778 1779);1778 1779;10.1007/s11207-020-01638-8;Likely;Likely;Likely;Likely;positions and areas derived from observations;Verified by abstract/figures.;Arlt [1];1778.0;1779.0;Carrasco/Vaquero
ROA Spanish Navy (scattered records);1789 1790;10.3847/2515-5172/ad08c9;Unclear;Unclear;Unclear;Unclear;;"Short note; likely descriptive.";Vaquero/Carrasco [2];1789.0;1790.0;Carrasco/Vaquero
Lorenzo Hervás y Panduro (note);1791;10.3847/2515-5172/ad5960;Unclear;Unclear;Unclear;Unclear;;"Research Note; likely narrative.";Other;1791.0;1791.0;Carrasco/Vaquero
Karl von Lindener;1800 1827;10.1051/swsc/2023023;Yes;Unclear;Likely;Likely;"date, group info, positions; areas not explicit";Verified (paper describes long-term dataset with positions).;Other;1800.0;1827.0;Hayakawa
Thaddäus Derfflinger (1802 1824);1802 1824;10.3847/1538-4357/ab65c9;Likely;Likely;Likely;Likely;positions & areas likely extracted;Verified (dataset description).;Hayakawa [3];1802.0;1824.0;Hayakawa
Tevel (1816 1836);1816 1836;10.3847/1538-4357/ac24a5;Unclear;Unclear;Yes;Yes;date, group and spot counts;"Verified (counts series; positions not specified).";Other;1816.0;1836.0;Carrasco/Vaquero
Schwabe (positions & sizes);1825 1867;10.1093/mnras/stt961;Yes;Yes;Likely;Likely;"positions and areas; counts derivable";Verified (MNRAS + arXiv).;Arlt [1];1825.0;1867.0;Arlt
Antonio Colla (post-Dalton);1830-1843;10.1007/s11207-020-01678-0;Unclear;Unclear;Likely;Likely;;Historical analysis.;Other;1830.0;1843.0;Carrasco/Vaquero
Spanish Navy meridian obs.;1833 1840;10.1016/j.asr.2014.01.015;Unclear;Unclear;Likely;Likely;;"Meridian observations; sunspots reported.";Vaquero/Carrasco [2];1833.0;1840.0;Carrasco/Vaquero
W.C. Bond (Cycle 9);1847 1849;10.1007/s11207-020-01696-y;Unclear;Unclear;Likely;Likely;;Historical analysis.;Other;1847.0;1849.0;Carrasco/Vaquero
Carrington/Peters/de la Rue (QC+MR);1853 1870;10.1007/s11207-015-0756-2;Yes;Yes;Likely;Likely;machine-readable positions & areas;Verified (QC + MR paper).;Other;1853.0;1870.0;Carrasco/Vaquero
Angelo Secchi (digitized);1853 1878;10.3847/1538-4365/ad0886;Yes;Yes;Yes;Yes;date, group ID, (x,y) position/lat lon, area, counts;Verified (paper states digitization of documents and GN analysis).;Other;1853.0;1878.0;Carrasco/Vaquero
Spoerer drawings (digitization);1861 1894;10.1002/asna.201412138;Yes;Likely;Likely;Likely;"positions; areas derived";Verified (digitization paper).;Arlt [1];1861.0;1894.0;Arlt
Secchi (note);1871 1875;10.1051/swsc/2021033;Unclear;Unclear;Likely;Likely;;"Note; likely mentions counts.";Other;1871.0;1875.0;Carrasco/Vaquero
Madrid AO (1876 1986);1876 1986;10.1007/s11207-014-0567-x;Likely;Likely;Yes;Yes;catalog with positions and areas;Verified (catalog paper).;Vaquero/Carrasco [2];1876.0;1986.0;Carrasco/Vaquero
Lisbon drawings (late 19th);Late 19th c.;;Unclear;Unclear;Likely;Likely;;"Observational paper; no DOI in list.";Vaquero/Carrasco [2];1880.0;1899.0;Carrasco/Vaquero
Hadden (1890 1931);1890 1931;10.1016/j.newast.2013.05.002;Unclear;Unclear;Likely;Likely;;"Long-term observer; counts likely.";Other;1890.0;1931.0;Carrasco/Vaquero
Zürich catalogs (reconstruction);1900-1944;10.1007/s11207-022-02015-3;Unclear;Unclear;Unclear;Unclear;;"Reconstruction from Zurich catalogs; columns TBD.";Other;1900.0;1944.0;Arlt
Zürich tables;1945-1979;;;;;;;;SILSO;1945;1979;SILSO
Madrid AO prominences (context);1906 1957;10.1051/swsc/2023003;—;—;—;—;;"Prominence catalog; out of scope for sunspot columns.";Vaquero/Carrasco [2];1906.0;1957.0;Carrasco/Vaquero
Valencia Observatory (1920 1928);1920 1928;10.1007/s11207-014-0578-7;Likely;Likely;Yes;Yes;catalog with positions and areas;Verified (catalog paper).;Vaquero/Carrasco [2];1920.0;1928.0;Carrasco/Vaquero
Katsue Misawa;1921 1934;10.1093/mnras/stad2791;Unclear;Unclear;Unclear;Unclear;;"Historical analysis; dataset columns TBD.";Hayakawa [3];1921.0;1934.0;Hayakawa
Coimbra catalog (faculae/prom/filaments);1929 1944;10.3847/1538-4365/ac85dd;—;—;—;—;faculae/prom/filament parameters;"Not sunspot catalog; different features.";Vaquero/Carrasco [2];1929.0;1944.0;Carrasco/Vaquero
Madrid AO sunspots 1931 1933;1931 1933;10.1007/s11207-022-01992-9;Yes;Yes;Yes;Yes;date, position, area, counts, groups;Verified (catalog paper).;Vaquero/Carrasco [2];1931.0;1933.0;Carrasco/Vaquero
Madrid HSN 1935 1986;1935 1986;10.3847/1538-4357/ac5dc6;No;No;— (SSN derived);Yes (hemi);date, hemispheric SSN values;Verified (hemispheric SSN product).;Vaquero/Carrasco [2];1935.0;1986.0;Carrasco/Vaquero
Valencia Observatory (hemi SSN);1940 1956;10.1007/s11207-023-02143-4;No;No;— (SSN derived);Yes (hemi);date, hemispheric SSN (GN/SSN components);Verified (hemispheric SSN product).;Vaquero/Carrasco [2];1940.0;1956.0;Carrasco/Vaquero
Hisako Koyama (1945 1996);1945 1996;10.1093/mnras/stz3345;Unclear;Unclear;Yes;Yes;daily group & spot counts;"Verified (paper title; counts).";Hayakawa [3];1945.0;1996.0;Hayakawa
NSO Sacramento Peak drawings;1947 2004;10.1007/s11207-020-01746-5;Likely;Yes;Likely;Likely;drawings + derived metadata (areas, counts);"Collection description; tables exist for areas.";Other;1947.0;2004.0;Carrasco/Vaquero
Kawaguchi Museum (1972 2013);1972 2013;10.1002/gdj3.158;Unclear;Unclear;Possibly;Possibly;;"Data journal; likely counts; positions not guaranteed.";Other;1972.0;2013.0;Hayakawa
Flaugergues (Dalton Minimum);1782-1830;10.1093/mnras/stad1489;Yes;Unclear;Likely;Likely;"date, positions; areas TBD";Verified (title/abstract indicate positions).;Arlt [1];1782;1830;Arlt
Humphry Marshall;18th c.;https://articles.adsabs.harvard.edu/pdf/2012Obs...132..267V;Unclear;Unclear;Likely;Likely;;"Observational paper; no DOI.";Other;1772;1773;Carrasco/Vaquero
Prantner (Dalton Minimum);1804-1844;10.3847/1538-4357/abee1b;Unclear;Unclear;Likely;Likely;;"Analysis; columns TBD.";Hayakawa [3];1804;1844;Hayakawa
Stonyhurst (catalog + areas series);"1921 1935; 1886 1940";10.3847/1538-4365/ac24a7;Yes;Yes;Yes;Yes;date, group/spot counts, positions, areas;Verified (ApJS catalog and area series).;Other;1886;1940;Carrasco/Vaquero
